sample_id,segment,cell_type,disease_status,patient_id,slide_name,pancreatic.A.cell,acinar.cell,pancreatic.D.cell,type.B.pancreatic.cell,pancreatic.ductal.cell,mesenchymal.cell
GSM7085008_DSP-1001660012909-A-B07.dcc,Panck+(Epithelial),PanIN,tumour,56855,6287-EC-S1,3.0290209353175928,0.19614285704433812,2.615807643679698,0.29841111302345225,1.276119434652018,0.30719661080182964
GSM7085009_DSP-1001660012909-A-B08.dcc,Panck+(Epithelial),PanIN,tumour,56855,6287-EC-S1,3.1212761999546097,0.13931973147402507,2.6091996823021133,0.37864770278850185,1.1482625332231229,0.26137481787249045
GSM7085010_DSP-1001660012909-A-B09.dcc,Panck+(Epithelial),PanIN,tumour,56855,6287-EC-S1,2.7648067015004405,0.10706573027770724,2.42882058057521,0.38488534422596044,1.0920579590331903,0.2875432813324243
GSM7085011_DSP-1001660012909-A-B10.dcc,Panck+(Epithelial),PanIN,tumour,56855,6287-EC-S1,2.97552379361489,0.11428325513769079,2.6371686048508445,0.3018472449898178,1.3183329851540662,0.30675242672908626
GSM7085012_DSP-1001660012909-A-B11.dcc,Panck+(Epithelial),PanIN,tumour,56855,6287-EC-S1,2.784621968768591,1.697565813800039,2.3752559450707458,0.25374988873940796,1.290201962398748,0.26760605938340104
GSM7085013_DSP-1001660012909-A-B12.dcc,Panck+(Epithelial),PanIN,tumour,56855,6287-EC-S1,3.904773812104685,1.4925807112361542,3.0237068248893664,0.30327953468668456,1.4852125821201234,0.3193512884922709
GSM7085015_DSP-1001660012909-A-C02.dcc,Panck+(Epithelial),PanIN,tumour,56855,6287-EC-S1,0.4255718313210443,0.057169211542672696,1.496198857894156,0.3060499985972946,1.2125932169625313,0.4741801352868388
GSM7085020_DSP-1001660012909-A-C07.dcc,Panck-(Stroma),Acinar,tumour,56855,6287-EC-S1,0.2703360756183611,2.3279065954863687,0.34086401802963523,0.9340539206339308,0.39913823467380205,0.33074962072465014
GSM7085021_DSP-1001660012909-A-C08.dcc,Panck-(Stroma),Acinar,tumour,56855,6287-EC-S1,0.8509443187522574,2.3912682363408964,0.49004315816849914,1.330579685990798,0.3986788756591949,0.337672537000927
GSM7085022_DSP-1001660012909-A-C09.dcc,Panck-(Stroma),Acinar,tumour,56855,6287-EC-S1,1.3265993622552412,2.4809256312474766,0.7028098314285514,1.5421855013534245,0.43630108286739167,0.2628229928374061
GSM7085023_DSP-1001660012909-A-C10.dcc,Panck-(Stroma),Acinar,tumour,56855,6287-EC-S1,0.5783496813204236,2.444789339894698,0.5193005395461767,1.1326482529112483,0.4201296113444935,0.3197445832134595
GSM7085024_DSP-1001660012909-A-C11.dcc,Panck-(Stroma),Acinar,tumour,56855,6287-EC-S1,0.1310209398928987,2.2278148224261787,0.2873806085282204,0.5901161944803077,0.39577689655571735,0.3727057143586999
GSM7085025_DSP-1001660012909-A-C12.dcc,Panck-(Stroma),Acinar,tumour,56855,6287-EC-S1,0.24665229925181287,2.4486356318887226,0.21486326984486023,1.0346556528402298,0.3909433958575954,0.3736716963963546
